,Definition,Denominator,DenominatorUnweightedId,DenominatorWeightedId,IndicatorId,IndicatorOldId,IndicatorOrder,IndicatorSpecial1Id,IndicatorSpecial2Id,IndicatorTotalId,IndicatorType,IsQuickStat,Label,Level1,Level2,Level3,MeasurementType,NumberScale,QuickStatOrder,SDRID,ShortName,TagIds
0,"Age-specific fertility rate for the three years preceding the survey for age group 10-14 expressed per 1,000 women",Per thousand women years exposed in the period 1-36 months prior to interview,,,FE_FRTR_W_A10,,11763005,,,,I,0,Age specific fertility rate: 10-14,Fertility,Fertility rates,Women,Rate,0,,FEFRTRWA10,ASFR 10-14,80
1,"Age-specific fertility rate for the three years preceding the survey for age group 15-19 expressed per 1,000 women",Per thousand women years exposed in the period 1-36 months prior to interview,,,FE_FRTR_W_A15,19165001,11763010,,,,I,0,Age specific fertility rate: 15-19,Fertility,Fertility rates,Women,Rate,0,,FEFRTRWA15,ASFR 15-19,"74, 1, 7, 81, 80"
2,"Age-specific fertility rate for the three years preceding the survey for age group 20-24 expressed per 1,000 women",Per thousand women years exposed in the period 1-36 months prior to interview,,,FE_FRTR_W_A20,19165002,11763020,,,,I,0,Age specific fertility rate: 20-24,Fertility,Fertility rates,Women,Rate,0,,FEFRTRWA20,ASFR 20-24,74
3,"Age-specific fertility rate for the three years preceding the survey for age group 25-29 expressed per 1,000 women",Per thousand women years exposed in the period 1-36 months prior to interview,,,FE_FRTR_W_A25,19165003,11763030,,,,I,0,Age specific fertility rate: 25-29,Fertility,Fertility rates,Women,Rate,0,,FEFRTRWA25,ASFR 25-29,74
4,"Age-specific fertility rate for the three years preceding the survey for age group 30-34 expressed per 1,000 women",Per thousand women years exposed in the period 1-36 months prior to interview,,,FE_FRTR_W_A30,19165004,11763040,,,,I,0,Age specific fertility rate: 30-34,Fertility,Fertility rates,Women,Rate,0,,FEFRTRWA30,ASFR 30-34,74
5,"Age-specific fertility rate for the three years preceding the survey for age group 35-39 expressed per 1,000 women",Per thousand women years exposed in the period 1-36 months prior to interview,,,FE_FRTR_W_A35,19165005,11763050,,,,I,0,Age specific fertility rate: 35-39,Fertility,Fertility rates,Women,Rate,0,,FEFRTRWA35,ASFR 35-39,74
6,"Age-specific fertility rate for the three years preceding the survey for age group 40-44 expressed per 1,000 women",Per thousand women years exposed in the period 1-36 months prior to interview,,,FE_FRTR_W_A40,19165006,11763060,,,,I,0,Age specific fertility rate: 40-44,Fertility,Fertility rates,Women,Rate,0,,FEFRTRWA40,ASFR 40-44,74
7,"Age-specific fertility rate for the three years preceding the survey for age group 45-49 expressed per 1,000 women",Per thousand women years exposed in the period 1-36 months prior to interview,,,FE_FRTR_W_A45,19165007,11763070,,,,I,0,Age specific fertility rate: 45-49,Fertility,Fertility rates,Women,Rate,0,,FEFRTRWA45,ASFR 45-49,74
8,Total fertility rate for the three years preceding the survey for age group 15-49 expressed per woman,Per woman,,,FE_FRTR_W_TFR,19170000,11763080,,,,I,1,Total fertility rate 15-49,Fertility,Fertility rates,Women,Rate,1,10,FEFRTRWTFR,TFR 15-49,"74, 0, 77"
9,Total fertility rate for the three years preceding the survey for age group 15-44 expressed per woman,Per woman,,,FE_FRTR_W_TF4,19170001,11763090,,,,I,0,Total fertility rate 15-44,Fertility,Fertility rates,Women,Rate,1,,FEFRTRWTF4,TFR 15-44,74
10,"General fertility rate for the three years preceding the survey expressed per 1,000 women age 15-44",Per thousand women age 15-44,,,FE_FRTR_W_GFR,122176002,11763100,,,,I,0,General fertility rate,Fertility,Fertility rates,Women,Rate,0,,FEFRTRWGFR,General fertility rate,"74, 77"
11,"Crude birth rate for the three years preceding the survey expressed per 1,000 population",Per thousand population,,,FE_FRTR_W_CBR,123175003,11763110,,,,I,0,Crude birth rate,Fertility,Fertility rates,Women,Rate,1,,FEFRTRWCBR,Crude birth rate,74
12,Percentage of women 15-49 currently pregnant,All women,FE_FRTY_W_UPG,FE_FRTY_W_NPG,FE_FRTY_W_PRG,20171001,11803020,,,,I,0,Percentage of women currently pregnant,Fertility,Fertility,Women,Percent,1,,FEFRTYWPRG,Women age 15-49 currently pregnant,
